id,type,before,after
N2-vocab-0049,extra_manual,"{""title"": ""補足"", ""reading"": """", ""meaning_vi"": ""Bổ túc, bổ sung""}","{""title"": ""補足"", ""reading"": ""ほそく"", ""meaning_vi"": ""Bổ túc, bổ sung""}"
N2-vocab-0050,extra_manual,"{""title"": ""催促"", ""reading"": """", ""meaning_vi"": ""Thúc giục, hối thúc""}","{""title"": ""催促"", ""reading"": ""さいそく"", ""meaning_vi"": ""Thúc giục, hối thúc""}"
N2-vocab-0083,extra_manual,"{""title"": ""謝り"", ""reading"": """", ""meaning_vi"": ""Sai, nhầm, lỗi""}","{""title"": ""誤り"", ""reading"": ""あやまり"", ""meaning_vi"": ""Sai, nhầm, lỗi""}"
N2-vocab-0107,extra_manual,"{""title"": ""初歩"", ""reading"": ""しょほ"", ""meaning_vi"": ""Đánh giá/Có tiếng""}","{""title"": ""初歩"", ""reading"": ""しょほ"", ""meaning_vi"": ""Sơ cấp, bước đầu""}"
N2-vocab-0125,extra_manual,"{""title"": ""上達"", ""reading"": ""じょうたつ"", ""meaning_vi"": ""Đánh giá/Có tiếng""}","{""title"": ""上達"", ""reading"": ""じょうたつ"", ""meaning_vi"": ""Tiến bộ""}"
N2-vocab-0126,extra_manual,"{""title"": ""視察"", ""reading"": ""しさつ"", ""meaning_vi"": ""Đánh giá/Có tiếng""}","{""title"": ""視察"", ""reading"": ""しさつ"", ""meaning_vi"": ""Thị sát""}"
N2-vocab-0197,extra_manual,"{""title"": ""やる気"", ""reading"": ""き"", ""meaning_vi"": ""Hứng thú""}","{""title"": ""やる気"", ""reading"": ""やるき"", ""meaning_vi"": ""Hứng thú""}"
N2-vocab-0313,extra_manual,"{""title"": ""皮膚"", ""reading"": ""ひふ"", ""meaning_vi"": ""Vươn ra/Sự tiến lên""}","{""title"": ""皮膚"", ""reading"": ""ひふ"", ""meaning_vi"": ""Da, làn da""}"
N2-vocab-0344,extra_manual,"{""title"": ""生きがい"", ""reading"": """", ""meaning_vi"": ""Lẽ sống""}","{""title"": ""生きがい"", ""reading"": ""いきがい"", ""meaning_vi"": ""Lẽ sống""}"
N2-vocab-0350,extra_manual,"{""title"": ""処分"", ""reading"": """", ""meaning_vi"": ""Sự tống khứ, bỏ đi/ Sự phạt, trừng phạt""}","{""title"": ""処分"", ""reading"": ""しょぶん"", ""meaning_vi"": ""Sự tống khứ, bỏ đi/ Sự phạt, trừng phạt""}"
N2-vocab-0377,extra_manual,"{""title"": ""た目"", ""reading"": ""みめ"", ""meaning_vi"": ""Vẻ bề ngoài, dáng vẻ""}","{""title"": ""見た目"", ""reading"": ""みため"", ""meaning_vi"": ""Vẻ bề ngoài, dáng vẻ""}"
N2-vocab-0423,extra_manual,"{""title"": ""叶う"", ""reading"": ""かのう"", ""meaning_vi"": ""Trở thành sự thực""}","{""title"": ""叶う"", ""reading"": ""かなう"", ""meaning_vi"": ""Trở thành sự thực""}"
N2-vocab-0471,extra_manual,"{""title"": ""屈む"", ""reading"": ""かかむ"", ""meaning_vi"": ""Khom lưng, cúi gập người""}","{""title"": ""屈む"", ""reading"": ""かがむ"", ""meaning_vi"": ""Khom lưng, cúi gập người""}"
N2-vocab-0545,extra_manual,"{""title"": ""ひっくり返す"", ""reading"": """", ""meaning_vi"": ""Đảo lộn, lật ngược""}","{""title"": ""ひっくり返す"", ""reading"": ""ひっくりかえす"", ""meaning_vi"": ""Đảo lộn, lật ngược""}"
N2-vocab-0584,extra_manual,"{""title"": ""引き止める"", ""reading"": ""ひとめる"", ""meaning_vi"": ""Kéo lại, níu kéo""}","{""title"": ""引き止める"", ""reading"": ""ひきとめる"", ""meaning_vi"": ""Kéo lại, níu kéo""}"
N2-vocab-0614,extra_manual,"{""title"": ""繰り返す"", ""reading"": ""くりかえす"", ""meaning_vi"": ""Đảm nhiệm, phụ trách""}","{""title"": ""繰り返す"", ""reading"": ""くりかえす"", ""meaning_vi"": ""Lặp lại""}"
N2-vocab-0633,extra_manual,"{""title"": ""〜を騒がす"", ""reading"": """", ""meaning_vi"": ""Ồn ào, gây xôn xao dư luận""}","{""title"": ""〜を騒がす"", ""reading"": ""さわがす"", ""meaning_vi"": ""Ồn ào, gây xôn xao dư luận""}"
N2-vocab-0645,extra_manual,"{""title"": ""連絡先を教えて頂けますでしょうか"", ""reading"": """", ""meaning_vi"": """"}","{""title"": ""連絡先を教えて頂けますでしょうか"", ""reading"": ""れんらくさきをおしえていただけますでしょうか"", ""meaning_vi"": """"}"
N2-vocab-0830,extra_manual,"{""title"": ""再三"", ""reading"": """", ""meaning_vi"": ""TÁI TAM Dăm ba bận, vài lần""}","{""title"": ""再三"", ""reading"": ""さいさん"", ""meaning_vi"": ""TÁI TAM Dăm ba bận, vài lần""}"
N2-vocab-0841,extra_manual,"{""title"": ""かえって"", ""reading"": """", ""meaning_vi"": ""Đánh giá/Có tiếng""}","{""title"": ""かえって"", ""reading"": """", ""meaning_vi"": ""Trái lại, ngược lại với dự đoán""}"
N2-vocab-0858,extra_manual,"{""title"": ""未だに"", ""reading"": """", ""meaning_vi"": ""Ngay cả bây giờ""}","{""title"": ""未だに"", ""reading"": ""いまだに"", ""meaning_vi"": ""Ngay cả bây giờ""}"
N2-vocab-0863,extra_manual,"{""title"": ""事前に"", ""reading"": """", ""meaning_vi"": ""Trước""}","{""title"": ""事前に"", ""reading"": ""じぜんに"", ""meaning_vi"": ""Trước""}"
N2-vocab-0895,extra_manual,"{""title"": ""ゲスト"", ""reading"": """", ""meaning_vi"": ""Đánh giá/Có tiếng""}","{""title"": ""ゲスト"", ""reading"": """", ""meaning_vi"": ""Khách mời""}"
