id,level,kind,lesson,number,title,reading,meaning_vi,page,status,reason,example_field_nonempty,raw_has_reibun,raw_bullets,raw_preview
N2-vocab-0001,N2,vocab,第1 課:01~10,1,評判,ひょうばん,Đánh giá/Có tiếng,2,OK,raw_例文,NO,YES,5,意味 世の中からの評価 ひょうばん ポイント 店、有名な人 評判 __がいい、悪い __が高まる、下がる 例文 Đánh giá/Có tiếng ・この映画、評判がいいらしいよ。 ・評判のいい店が探せて嬉しい! 使い分け • 評判: 客観的 いい、悪い • 評価: 主観的 A-B-C・100-90-80
N2-vocab-0002,N2,vocab,第1 課:01~10,2,雑談,ざつだん,Nói chuyện phiếm,2,OK,raw_例文,NO,YES,1,ざつだん 意味 特にテーマを定めないで気楽に会話する 雑談 ポイント ≒おしゃべり(軽い話) 例文 ・みなさんは職場で仕事以外の話、例えば Nói chuyện phiếm プライベートな話や雑談をしてもいいと 思いますか?
N2-vocab-0003,N2,vocab,第1 課:01~10,3,おしゃべり,,Nói chuyện/ Hoạt ngôn,2,OK,raw_例文,NO,YES,2,意味 1 軽い会話≒雑談 おしゃべり 例文 ・授業中に隣の人とおしゃべりしていて、先生に 怒られた。 Nói chuyện/ Hoạt ngôn 意味 2 口数が多いこと 例文 ・おしゃべりな子供
N2-vocab-0004,N2,vocab,第1 課:01~10,4,取材,しゅざい,Phỏng vấn,3,OK,raw_例文,NO,YES,2,しゅざい 意味 ニュースや記事の情報材料を集めるために、話を聞く 取材 こと 例文 Phỏng vấn ・放送局の取材に応じる。 ・インタビューする前に、相手から取材許可をとる。
N2-vocab-0005,N2,vocab,第1 課:01~10,5,きっかけ,,Nguyên cớ,3,OK,raw_例文,NO,YES,5,・インタビューする前に、相手から取材許可をとる。 意味 何かを始める手がかり・糸口・動機 きっかけ ポイント 何かをスタートする理由になるもの 例文 ・彼女と話したいのだが、話のきっかけが Nguyên cớ つかめない。 ・日本語を勉強しようと思ったきっかけは、山田さん との出会いです。
N2-vocab-0006,N2,vocab,第1 課:01~10,6,続出,ぞくしゅつ,Liên tiếp xuất hiện,3,OK,raw_例文,NO,YES,3,との出会いです。 ぞくしゅつ 意味 同じようなこと・人がどんどん出てくること 続出 例文 Liên tiếp xuất hiện ・暑い!真夏日続出 ・このゲーム!ハマる人続出!
N2-vocab-0007,N2,vocab,第1 課:01~10,7,外見,がいけん,Ngoại hình,3,OK,raw_例文,NO,YES,3,・このゲーム!ハマる人続出! がいけん 意味 外側からの見ため 外見 ポイント ⇔中身、内面 例文 Ngoại hình ・人を判断するときは外見よりも中身が大切だ。 ・この商品は外見は微妙だけど、超うまい。
N2-vocab-0008,N2,vocab,第1 課:01~10,8,上昇,じょうしょう,Sự tăng lên,3,OK,raw_例文,NO,YES,5,・この商品は外見は微妙だけど、超うまい。 じょうしょう 意味 上がっていく、高くなる 上昇 ポイント 気温、物価_ ・午後から気温が急激に上昇した。 Sự tăng lên 例文 使い分け • 上昇: 新聞・ニュース • 上がる: 日常
N2-vocab-0009,N2,vocab,第1 課:01~10,9,見解,けんかい,"Quan điểm, ý kiến (khi xử lý vấn đề)",4,OK,raw_例文,NO,YES,3,"けんかい 意味 ものの見方・考え方 見解 専門性のある意見 ポイント 例文 ・来年の経済の見通しについて、政府が見解を述べた。 Quan điểm, ý kiến (khi xử lý vấn đề) (見通し:予想) ・事故原因については、専門家の間でも見解が分かれ ている。"
N2-vocab-0010,N2,vocab,第1 課:01~10,10,普及,ふきゅう,Phổ cập,4,OK,raw_例文,NO,YES,2,意味 新しいものが広がって当たり前になること ふきゅう 普及 例文 ・パソコンが一般家庭に普及するに伴い、 インターネット利用者が急激に増えた。 Phổ cập ・スマホの普及率は100%に近づいている。
N2-vocab-0011,N2,vocab,第2 課:11~20,11,注目,ちゅうもく,Chú ý/Quan tâm,5,OK,raw_例文,NO,YES,2,Kiến thức ちゅうもく 意味 1 人の注意の目を集めること 注目 ポイント 注目される 例文 ・会議中におならをして注目を浴びて/集めて Chú ý/Quan tâm しまった 意味 2 注意して見ること ポイント 注目する 例文 ・最近、RIKIという日本語学校に注目している。
N2-vocab-0012,N2,vocab,第2 課:11~20,12,分析,ぶんせき,Phân tích,5,OK,raw_例文,NO,YES,1,ぶんせき 意味 複雑なことを1つ1つ分けて、 原因の結果を考える 分析 ポイント 「なぜ?要因は?」を考える。 例文 ・統計資料を見て、お客さんが増えた理由を Phân tích 分析する。
N2-vocab-0013,N2,vocab,第2 課:11~20,13,反映,はんえい,Phản ánh,5,OK,raw_例文,NO,YES,3,意味 (主張、意見)が〜まで及ぶ。 はんえい 反映 A→Bに影響し、現れること。 ポイント 意見・考えを〜に反映する Phản ánh 例文 ・国民の声を政治に反映させよう。 ・お客様からいただいた意見をサービス改善に 反映する。
N2-vocab-0014,N2,vocab,第2 課:11~20,14,強み,つよみ,"Sở trường, điểm mạnh",6,OK,raw_例文,NO,YES,2,"つよ 意味 強いところ、長所 強 み ポイント ⇔ 弱み 例文 Sở trường, điểm mạnh ・RIKI日本語の強みは「面白さ」です。 使い分け • 類: 長所"
N2-vocab-0015,N2,vocab,第2 課:11~20,15,回復,かいふく,Hồi phục,6,OK,raw_例文,NO,YES,2,意味 かいふく 悪い状態になったものが元に戻ること 回復 ポイント 経済、体調が回復する 例文 Hồi phục ・祖父の体調が回復に向かっている。 ・景気が回復してきた。
N2-vocab-0016,N2,vocab,第2 課:11~20,16,方針,ほうしん,Phương châm,6,OK,raw_例文,NO,YES,3,・景気が回復してきた。 意味 ほうしん 計画での目指す方向 方針 針の方向 ポイント 例文 Phương châm ・来年に向けた会社の方針を発表する。 ・子供の教育方針について夫と意見が合わない。
N2-vocab-0017,N2,vocab,第2 課:11~20,17,範囲,はんい,Phạm vi,6,OK,raw_例文,NO,YES,3,・子供の教育方針について夫と意見が合わない。 はんい 意味 〜から〜まで 範囲 Phạm vi 例文 ・今回の試験範囲はかなり広いらしい。 ・(相手に頼まれた時) 「はい。できる範囲で協力しますよ。」
N2-vocab-0018,N2,vocab,第2 課:11~20,18,利益,りえき,Lợi ích/Lợi nhuận,6,OK,raw_例文,NO,YES,2,意味 得 りえき 利益 ポイント 売り上げー費用 利益 ⇔ 損失 例文 Lợi ích/Lợi nhuận ・目の前の利益ばかり追っているといつか損をするよ。 ・今年は景気が良く、会社の利益も去年の2倍に なった。
N2-vocab-0019,N2,vocab,第2 課:11~20,19,解消,かいしょう,"Giải tỏa, hủy bỏ",7,OK,raw_例文,NO,YES,1,"かいしょう 意味 今までの状態がなくなること 解消 問題、ストレス_ ポイント 例文 Giải tỏa, hủy bỏ ・私のストレス解消法はカラオケに行くことです。"
N2-vocab-0020,N2,vocab,第2 課:11~20,20,改善,かいぜん,Cải thiện,7,OK,raw_例文,NO,YES,1,意味 あるものをさらに良くしていくこと かいぜん 改善 ポイント 改めて、よく(善)する Cải thiện 例文 ・この教材はまだまだ改善すべきだ。
