type,name,in_old_rich_base,was_missing_in_bad_current,present_after_restore
id,${esc(id)},yes,yes,yes
id,backupNow,yes,yes,yes
id,backupReminderDays,yes,yes,yes
id,cardTemplate,yes,no,yes
id,closeFocusBtn,yes,yes,yes
id,confusionQuiz,yes,yes,yes
id,confusionStudy,yes,yes,yes
id,confusionType,yes,yes,yes
id,createSessionBtn,yes,no,yes
id,driveDelay,yes,no,yes
id,driveMeaning,yes,no,yes
id,driveMode,yes,yes,yes
id,driveNext,yes,no,yes
id,driveProgress,yes,no,yes
id,driveStart,yes,no,yes
id,driveStop,yes,no,yes
id,driveWord,yes,no,yes
id,exportBtn,yes,no,yes
id,finishDashboard,yes,yes,yes
id,finishReview,yes,yes,yes
id,fontScale,yes,yes,yes
id,frontMode,yes,no,yes
id,goDrive,yes,no,yes
id,goQuiz,yes,yes,yes
id,importBtn,yes,no,yes
id,importFile,yes,no,yes
id,kindFilter,yes,no,yes
id,levelFilter,yes,no,yes
id,maziiCloseBtn,yes,yes,yes
id,maziiCopyBtn,yes,yes,yes
id,maziiMenuWord,yes,yes,yes
id,maziiOpenBtn,yes,yes,yes
id,modeAll,yes,no,yes
id,modeNew,yes,no,yes
id,modeReview,yes,no,yes
id,modeSetup,yes,no,yes
id,modeSmart,yes,yes,yes
id,newPerDay,yes,no,yes
id,newQuiz,yes,no,yes
id,nextPage,yes,no,yes
id,nextQuiz,yes,no,yes
id,prevPage,yes,no,yes
id,quizArea,yes,no,yes
id,quizFeedback,yes,no,yes
id,quizMode,yes,no,yes
id,resetBtn,yes,no,yes
id,saveSettings,yes,no,yes
id,searchBox,yes,no,yes
id,sessionHint,yes,no,yes
id,sessionMode,yes,no,yes
id,sessionSize,yes,no,yes
id,settingFontScale,yes,yes,yes
id,settingFrontMode,yes,no,yes
id,settingSessionSize,yes,no,yes
id,settingStudyOrder,yes,yes,yes
id,showRaw,yes,no,yes
id,smartStudyBtn,yes,yes,yes
id,startGoalSession,yes,no,yes
id,startNew,yes,no,yes
id,startReview,yes,no,yes
id,startSetup,yes,no,yes
id,startSmartToday,yes,yes,yes
id,studyArea,yes,no,yes
id,studyOrder,yes,yes,yes
id,themeBtn,yes,no,yes
id,todayGoalBox,yes,no,yes
id,view,yes,no,yes
func,$,yes,no,yes
func,$all,yes,no,yes
func,activateNav,yes,no,yes
func,addConfusionGroup,yes,yes,yes
func,answerDetailHtml,yes,yes,yes
func,answerQuiz,yes,no,yes
func,applyLearningFontScale,yes,yes,yes
func,attr,yes,yes,yes
func,backHtml,yes,no,yes
func,backupReminderHtml,yes,yes,yes
func,bindFocusClose,yes,yes,yes
func,bindFontScaleControls,yes,yes,yes
func,bindMaziiLookup,yes,yes,yes
func,bindShell,yes,no,yes
func,bindStudyGestures,yes,yes,yes
func,buildExampleReadingLookup,yes,yes,yes
func,buildQuizQuestion,yes,yes,yes
func,buildSmartDeck,yes,yes,yes
func,cardMeaningShort,yes,yes,yes
func,cleanLookupText,yes,yes,yes
func,cleanSurfaceTitle,yes,yes,yes
func,compactDisplayLines,yes,yes,yes
func,compactText,yes,yes,yes
func,confusionGroups,yes,yes,yes
func,confusionTip,yes,yes,yes
func,confusionTypeLabel,yes,yes,yes
func,countStats,yes,no,yes
func,dataInfo,yes,no,yes
func,dayStartTs,yes,no,yes
func,days,yes,no,yes
func,defaultState,yes,no,yes
func,dueCards,yes,yes,yes
func,ensureMaziiUi,yes,yes,yes
func,esc,yes,no,yes
func,exampleReadingText,yes,yes,yes
func,exitFocus,yes,yes,yes
func,expandConfusionDeckForQuiz,yes,yes,yes
func,exportProgress,yes,no,yes
func,filteredCards,yes,no,yes
func,fmtDate,yes,no,yes
func,focusHeader,yes,yes,yes
func,fontOptions,yes,yes,yes
func,fontSizeControl,yes,yes,yes
func,formatPdfLine,yes,no,yes
func,fullFrontHtml,yes,no,yes
func,getP,yes,no,yes
func,hasJapaneseText,yes,yes,yes
func,hasKanji,yes,yes,yes
func,hasKanjiText,yes,yes,yes
func,hideMaziiMenu,yes,yes,yes
func,importProgress,yes,no,yes
func,init,yes,no,yes
func,isDue,yes,no,yes
func,isKanaOnlyLine,yes,yes,yes
func,isLearned,yes,no,yes
func,isNew,yes,no,yes
func,isNoiseLine,yes,no,yes
func,isSectionLabel,yes,yes,yes
func,joinPdfContinuation,yes,yes,yes
func,kanjiPdfLikeHtml,yes,no,yes
func,loadState,yes,no,yes
func,lookupWordHtml,yes,yes,yes
func,makeSearchText,yes,no,yes
func,manualConfusionGroups,yes,yes,yes
func,markMaziiOpen,yes,yes,yes
func,maziiAppUrl,yes,yes,yes
func,metaPills,yes,no,yes
func,migrateState,yes,no,yes
func,miniList,yes,no,yes
func,minutes,yes,no,yes
func,newCards,yes,yes,yes
func,nextQuiz,yes,no,yes
func,normQuizText,yes,yes,yes
func,normalizeSearchText,yes,no,yes
func,normalizeVocabReading,yes,yes,yes
func,normalizedReading,yes,yes,yes
func,now,yes,no,yes
func,openMazii,yes,yes,yes
func,orderedCards,yes,yes,yes
func,overloadAdvice,yes,yes,yes
func,pdfLikeHtml,yes,no,yes
func,pdfSection,yes,no,yes
func,pickDistractors,yes,yes,yes
func,practiceHtml,yes,yes,yes
func,progressPct,yes,no,yes
func,quizAnswer,yes,no,yes
func,quizMeaning,yes,yes,yes
func,quizQuestion,yes,no,yes
func,quizQuestionHtml,yes,no,yes
func,quizValidCard,yes,yes,yes
func,rateCard,yes,no,yes
func,rateSilently,yes,no,yes
func,ratingControlsHtml,yes,yes,yes
func,rawLineList,yes,no,yes
func,relatedPools,yes,yes,yes
func,render,yes,no,yes
func,renderConfusionGroup,yes,yes,yes
func,renderConfusions,yes,yes,yes
func,renderDashboard,yes,no,yes
func,renderDrive,yes,no,yes
func,renderLibrary,yes,no,yes
func,renderMistakes,yes,no,yes
func,renderQuiz,yes,no,yes
func,renderSettings,yes,no,yes
func,renderStudy,yes,no,yes
func,renderStudyCard,yes,no,yes
func,revealCurrentCard,yes,yes,yes
func,sameDay,yes,yes,yes
func,sameKanjiHeadGroups,yes,yes,yes
