id,level,kind,source,page,title,reading,status
N2-vocab-0001,N2,vocab,N2 Junbi Từ vựng,2,評判,ひょうばん,TITLE_IN_PDF
N2-vocab-0002,N2,vocab,N2 Junbi Từ vựng,2,雑談,ざつだん,TITLE_IN_PDF
N2-vocab-0003,N2,vocab,N2 Junbi Từ vựng,2,おしゃべり,,TITLE_IN_PDF
N2-vocab-0004,N2,vocab,N2 Junbi Từ vựng,3,取材,しゅざい,TITLE_IN_PDF
N2-vocab-0005,N2,vocab,N2 Junbi Từ vựng,3,きっかけ,,TITLE_IN_PDF
N2-vocab-0006,N2,vocab,N2 Junbi Từ vựng,3,続出,ぞくしゅつ,TITLE_IN_PDF
N2-vocab-0007,N2,vocab,N2 Junbi Từ vựng,3,外見,がいけん,TITLE_IN_PDF
N2-vocab-0008,N2,vocab,N2 Junbi Từ vựng,3,上昇,じょうしょう,TITLE_IN_PDF
N2-vocab-0009,N2,vocab,N2 Junbi Từ vựng,4,見解,けんかい,TITLE_IN_PDF
N2-vocab-0010,N2,vocab,N2 Junbi Từ vựng,4,普及,ふきゅう,TITLE_IN_PDF
N2-vocab-0011,N2,vocab,N2 Junbi Từ vựng,5,注目,ちゅうもく,TITLE_IN_PDF
N2-vocab-0012,N2,vocab,N2 Junbi Từ vựng,5,分析,ぶんせき,TITLE_IN_PDF
N2-vocab-0013,N2,vocab,N2 Junbi Từ vựng,5,反映,はんえい,TITLE_IN_PDF
N2-vocab-0014,N2,vocab,N2 Junbi Từ vựng,6,強み,つよみ,TITLE_IN_PDF
N2-vocab-0015,N2,vocab,N2 Junbi Từ vựng,6,回復,かいふく,TITLE_IN_PDF
N2-vocab-0016,N2,vocab,N2 Junbi Từ vựng,6,方針,ほうしん,TITLE_IN_PDF
N2-vocab-0017,N2,vocab,N2 Junbi Từ vựng,6,範囲,はんい,TITLE_IN_PDF
N2-vocab-0018,N2,vocab,N2 Junbi Từ vựng,6,利益,りえき,TITLE_IN_PDF
N2-vocab-0019,N2,vocab,N2 Junbi Từ vựng,7,解消,かいしょう,TITLE_IN_PDF
N2-vocab-0020,N2,vocab,N2 Junbi Từ vựng,7,改善,かいぜん,TITLE_IN_PDF
N2-vocab-0021,N2,vocab,N2 Junbi Từ vựng,8,視野,しや,TITLE_IN_PDF
N2-vocab-0022,N2,vocab,N2 Junbi Từ vựng,8,機能,きのう,TITLE_IN_PDF
N2-vocab-0023,N2,vocab,N2 Junbi Từ vựng,9,世間,せけん,TITLE_IN_PDF
N2-vocab-0024,N2,vocab,N2 Junbi Từ vựng,9,違反,いはん,TITLE_IN_PDF
N2-vocab-0025,N2,vocab,N2 Junbi Từ vựng,9,素質,そしつ,TITLE_IN_PDF
N2-vocab-0026,N2,vocab,N2 Junbi Từ vựng,10,辞退,じたい,TITLE_IN_PDF
N2-vocab-0027,N2,vocab,N2 Junbi Từ vựng,10,改正,かいせい,TITLE_IN_PDF
N2-vocab-0028,N2,vocab,N2 Junbi Từ vựng,10,夢中,むちゅう,TITLE_IN_PDF
N2-vocab-0029,N2,vocab,N2 Junbi Từ vựng,10,日中,にっちゅう,TITLE_IN_PDF
N2-vocab-0030,N2,vocab,N2 Junbi Từ vựng,11,矛盾,むじゅん,TITLE_IN_PDF
N2-vocab-0031,N2,vocab,N2 Junbi Từ vựng,12,交代,こうたい,TITLE_IN_PDF
N2-vocab-0032,N2,vocab,N2 Junbi Từ vựng,12,合図,あいず,TITLE_IN_PDF
