id,level,kind,number,title,reading,meaning,warnings
"N2-vocab-0049","N2","vocab","49","補足","","Bổ túc, bổ sung","fallback_or_supplement_visible"
"N2-vocab-0515","N2","vocab","505","補う","おぎなう","Đền bù, bổ sung","fallback_or_supplement_visible"
"N2-vocab-0598","N2","vocab","588","当てはまる","あてはまる","Hợp, phù hợp","fallback_or_supplement_visible"
"N2-vocab-0599","N2","vocab","589","付け加える","つくわえる","Thêm vào","fallback_or_supplement_visible"
"N2-kanji-0001","N2","kanji","1","散","","Cô gái (女) đi dạo bên hàng rào dưới ánh trăng (月) để TÁN tỉnh ai đó","reading_not_left"
"N2-kanji-0017","N2","kanji","17","源","","Nước (水) chảy từ thảo nguyên (草原) là nguồn (原) nước NGUYÊN gốc(源)","reading_not_left"
"N2-kanji-0021","N2","kanji","21","畜","","Bạn Huyền (玄) chăn nuôi gia SÚC (畜) ở trên ruộng (田)","reading_not_left"
"N2-kanji-0046","N2","kanji","45","軒","","Xe(車) được khô ráo(干) vì có HIÊN(軒)che","reading_not_left"
"N2-kanji-0050","N2","kanji","49","証","","Lời nói (言) chính xác (正) được đưa ra làm CHỨNG (証)","reading_not_left"
"N2-kanji-0051","N2","kanji","50","域","","Khu VỰC (地域) là 1 mảnh đất (土) có hình vuông (口) bên trong có 1 người cầm dao","reading_not_left"
"N2-kanji-0063","N2","kanji","62","瓶","","Ngày xưa, BÌNH (瓶) làm bằng ngói(瓦)","reading_not_left"
"N2-kanji-0066","N2","kanji","65","糖","","Khi bỏ Gạo (米) vào miệng (口) thì có vị ngọt của ĐƯỜNG (糖)","reading_not_left"
"N2-kanji-0081","N2","kanji","80","封","","Chôn quỷ bằng thánh giá dưới 2 lớp đất để PHONG ấn","reading_not_left"
"N2-kanji-0083","N2","kanji","82","歳","","Con Tuất (戌) nhỏ (小) dừng lại (止) làm động tác vạn TUẾ (歳).","reading_not_left"
"N2-kanji-0086","N2","kanji","85","菓","","Dùng hoa QUẢ (果) và cỏ (草) để làm bánh kẹo (菓)","reading_not_left"
"N2-kanji-0089","N2","kanji","88","途","","Nhớ mang dư (余) tiền trên con đường (道) gây dựng tiền ĐỒ (途)","reading_not_left"
"N2-kanji-0090","N2","kanji","89","標","","Mục TIÊU(標)của bản thân là viết thêm công việc của ngày thứ 5(木)vào phiếu(票)","reading_not_left"
"N2-kanji-0091","N2","kanji","90","普","","Mỗi ngày (日) ở cửa tiệm nổi tiếng thì việc xếp hàng (並ぶ) là bình thường (普通)","reading_not_left"
"N2-kanji-0095","N2","kanji","94","往","","Đi làm chủ (主) đã là dĩ VÃNG(往)","reading_not_left"
"N2-kanji-0096","N2","kanji","95","距","","Chân (足) to chạy được cự li (距離)","reading_not_left"
"N2-kanji-0106","N2","kanji","105","延","訓： / 音：","DUYÊN (延) dẫn (廴) Chính (正) đi chơi","reading_not_left"
"N2-kanji-0107","N2","kanji","106","更","訓： / 音：","Một (一) người (人) CANH (更) tác ruộng(田)","reading_not_left"
