id,source,page,title,status,old_len,new_len
N2-vocab-0001,N2 Junbi Từ vựng,2,評判,replaced,153,155
N2-vocab-0002,N2 Junbi Từ vựng,2,雑談,replaced,112,36
N2-vocab-0003,N2 Junbi Từ vựng,2,おしゃべり,replaced,98,186
N2-vocab-0004,N2 Junbi Từ vựng,3,取材,replaced,89,89
N2-vocab-0005,N2 Junbi Từ vựng,3,きっかけ,replaced,145,120
N2-vocab-0006,N2 Junbi Từ vựng,3,続出,replaced,89,80
N2-vocab-0007,N2 Junbi Từ vựng,3,外見,replaced,104,89
N2-vocab-0008,N2 Junbi Từ vựng,3,上昇,replaced,118,97
N2-vocab-0009,N2 Junbi Từ vựng,4,見解,replaced,139,139
N2-vocab-0010,N2 Junbi Từ vựng,4,普及,replaced,102,102
N2-vocab-0011,N2 Junbi Từ vựng,5,注目,replaced,144,134
N2-vocab-0012,N2 Junbi Từ vựng,5,分析,replaced,95,95
N2-vocab-0013,N2 Junbi Từ vựng,5,反映,replaced,115,126
N2-vocab-0014,N2 Junbi Từ vựng,6,強み,replaced,86,86
N2-vocab-0015,N2 Junbi Từ vựng,6,回復,replaced,86,86
N2-vocab-0016,N2 Junbi Từ vựng,6,方針,replaced,99,87
N2-vocab-0017,N2 Junbi Từ vựng,6,範囲,replaced,100,77
N2-vocab-0018,N2 Junbi Từ vựng,6,利益,replaced,107,107
N2-vocab-0019,N2 Junbi Từ vựng,7,解消,replaced,83,83
N2-vocab-0020,N2 Junbi Từ vựng,7,改善,replaced,75,75
N2-vocab-0021,N2 Junbi Từ vựng,8,視野,replaced,206,196
N2-vocab-0022,N2 Junbi Từ vựng,8,機能,replaced,102,113
N2-vocab-0023,N2 Junbi Từ vựng,9,世間,replaced,186,186
N2-vocab-0024,N2 Junbi Từ vựng,9,違反,replaced,53,53
N2-vocab-0025,N2 Junbi Từ vựng,9,素質,replaced,53,53
N2-vocab-0026,N2 Junbi Từ vựng,10,辞退,replaced,140,140
N2-vocab-0027,N2 Junbi Từ vựng,10,改正,replaced,140,140
N2-vocab-0028,N2 Junbi Từ vựng,10,夢中,replaced,86,86
N2-vocab-0029,N2 Junbi Từ vựng,10,日中,replaced,103,103
N2-vocab-0030,N2 Junbi Từ vựng,11,矛盾,replaced,103,103
N2-vocab-0031,N2 Junbi Từ vựng,12,交代,replaced,65,55
N2-vocab-0032,N2 Junbi Từ vựng,12,合図,replaced,120,120
N2-vocab-0033,N2 Junbi Từ vựng,12,愚痴,replaced,147,158
N2-vocab-0034,N2 Junbi Từ vựng,13,場面,replaced,92,92
N2-vocab-0035,N2 Junbi Từ vựng,13,成長,replaced,79,79
N2-vocab-0036,N2 Junbi Từ vựng,13,追加,replaced,69,69
N2-vocab-0037,N2 Junbi Từ vựng,13,廃止,replaced,86,86
N2-vocab-0038,N2 Junbi Từ vựng,14,心強い,replaced,119,119
N2-vocab-0039,N2 Junbi Từ vựng,14,解散,replaced,121,121
N2-vocab-0040,N2 Junbi Từ vựng,14,意欲,replaced,114,94
N2-vocab-0041,N2 Junbi Từ vựng,15,専念,replaced,71,71
N2-vocab-0042,N2 Junbi Từ vựng,15,格好,replaced,128,128
N2-vocab-0043,N2 Junbi Từ vựng,15,提示,replaced,128,139
N2-vocab-0044,N2 Junbi Từ vựng,16,分野,replaced,81,81
N2-vocab-0045,N2 Junbi Từ vựng,16,中継,replaced,100,100
N2-vocab-0046,N2 Junbi Từ vựng,16,見当,replaced,64,64
N2-vocab-0047,N2 Junbi Từ vựng,16,比例,replaced,98,98
N2-vocab-0048,N2 Junbi Từ vựng,16,ふもと,replaced,45,45
N2-vocab-0049,N2 Junbi Từ vựng,16,補足,replaced,102,102
N2-vocab-0050,N2 Junbi Từ vựng,17,催促,replaced,91,91
N2-vocab-0051,N2 Junbi Từ vựng,18,導入,replaced,147,147
