id,issue,title,reading,kana_in_title,meaning,page
N2-vocab-0003,short_kana_title_check,おしゃべり,,,Nói chuyện/ Hoạt ngôn,2
N2-vocab-0005,short_kana_title_check,きっかけ,,,Nguyên cớ,3
N2-vocab-0048,short_kana_title_check,ふもと,,,Chân núi,16
N2-vocab-0094,short_kana_title_check,じたばた,,,"Vùng vẫy, vật lộn",31
N2-vocab-0109,short_kana_title_check,あこがれ,,,"Ao ước, ngưỡng mộ",35
N2-vocab-0113,short_kana_title_check,かかりつけ,,,"__cá nhân, gia đình",36
N2-vocab-0197,reading_may_miss_okurigana,やる気,き,やる,Hứng thú,61
N2-vocab-0229,short_kana_title_check,いたずら,,,Trò nghịch ngợm,71
N2-vocab-0283,short_kana_title_check,でたらめ,,,,88
N2-vocab-0290,short_kana_title_check,あちこち,,,"Khắp nơi, khắp chốn",90
N2-vocab-0291,short_kana_title_check,あらすじ,,,"Tóm tắt, cốt truyện",91
N2-vocab-0349,short_kana_title_check,しわ,,,Nếp nhăn,109
N2-vocab-0356,short_kana_title_check,おじぎ,,,Cúi chào,112
N2-vocab-0377,reading_may_miss_okurigana,た目,みめ,た,"Vẻ bề ngoài, dáng vẻ",119
N2-vocab-0431,short_kana_title_check,つまずく,,,"Vấp, ngã",137
N2-vocab-0437,short_kana_title_check,にごる,,,Đục/Ngả màu,139
N2-vocab-0438,short_kana_title_check,つぶす,,,Đập bẹp/ Giết thời gian/ Phá sản,139
N2-vocab-0439,short_kana_title_check,ささやく,,,"Thì thầm, xì xào/ Bàn tán, đồn đại",139
N2-vocab-0441,short_kana_title_check,さびる,,,"Gỉ, mai một",141
N2-vocab-0448,short_kana_title_check,うなずく,,,Gật đầu,143
N2-vocab-0450,short_kana_title_check,めくる,,,"Lật lên, giở/ Vén, xắn",143
N2-vocab-0451,short_kana_title_check,いじる,,,"Chạm, vuốt/ Chỉnh sửa, thay đổi/ Trêu đùa/ Táy máy",144
N2-vocab-0466,short_kana_title_check,とらえる,,,"Bắt, bắt giữ/ Nắm bắt, chiếm lấy",150
N2-vocab-0475,short_kana_title_check,しびれる,,,"Tê, tê liệt/ Tê liệt, si mê",153
N2-vocab-0476,short_kana_title_check,まく,,,Gieo hạt/ Gieo (nguyên nhân),153
N2-vocab-0486,short_kana_title_check,けなす,,,"Gièm pha, chê bai",157
N2-vocab-0497,short_kana_title_check,くるむ,,,"Cuộn, túm, gói, bọc",161
N2-vocab-0507,short_kana_title_check,あきれる,,,"Ngạc nhiên, sốc",165
N2-vocab-0538,short_kana_title_check,ためらう,,,"Do dự, lưỡng lự",177
N2-vocab-0539,short_kana_title_check,かじる,,,"Cắn, gặm nhấm/ Học một chút",177
N2-vocab-0541,short_kana_title_check,はがす,,,"Bóc ra, mở ra/ Tách ra",178
N2-vocab-0542,short_kana_title_check,つかむ,,,Có trong tay,178
N2-vocab-0543,short_kana_title_check,かわいがる,,,"Nâng niu, yêu thương Cưng chiều",179
N2-vocab-0546,short_kana_title_check,しゃがむ,,,Ngồi xổm,179
N2-vocab-0548,short_kana_title_check,ふざける,,,Đùa cợt,180
N2-vocab-0549,short_kana_title_check,なぐさめる,,,"An ủi, động viên",180
N2-vocab-0563,short_kana_title_check,ずれる,,,"1. Bị chệch, lệch 2. Khác thường",187
N2-vocab-0575,short_kana_title_check,むかつく,,,Phụ thuộc,192
N2-vocab-0584,reading_may_miss_okurigana,引き止める,ひとめる,きめる,"Kéo lại, níu kéo",195
N2-vocab-0631,short_kana_title_check,やかましい,,,Ồn ào,209
N2-vocab-0635,short_kana_title_check,たくましい,,,Mạnh mẽ,210
